City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iqaluit,63.7506,-68.5145,-9.15,79,100,4.63,CA,1711312572
1,mcpherson,38.3708,-97.6642,12.83,86,100,13.67,US,1711312572
2,olonkinbyen,70.9221,-8.7187,-4.96,66,100,6.47,SJ,1711312572
3,puerto ayora,-0.7393,-90.3518,30.98,93,49,4.47,EC,1711312572
4,varberg,57.1056,12.2508,4.57,93,100,2.16,SE,1711312321
5,vorgashor,67.5833,63.95,-31.16,100,22,0.61,RU,1711312572
6,nova sintra,14.8667,-24.7167,19.43,72,24,7.5,CV,1711312573
7,pandan,14.0453,124.1694,25.2,86,81,5.07,PH,1711312573
8,ar ruways,24.1103,52.7306,28.1,44,99,5.49,AE,1711312573
9,klyuchi,52.2667,79.1667,-2.24,88,11,4.14,RU,1711312573
10,stanley,54.868,-1.6985,5.59,81,20,1.03,GB,1711312420
11,vilhena,-12.7406,-60.1458,27.12,78,40,2.57,BR,1711312573
12,port-aux-francais,-49.35,70.2167,5.38,78,100,15.52,TF,1711312522
13,oboyan',51.2098,36.2792,7.49,80,100,5.62,RU,1711312573
14,san patricio,28.017,-97.5169,25.97,67,100,9.5,US,1711312573
15,hoemul-li,41.4339,129.67,3.27,96,100,2.7,KP,1711312574
16,bochum,51.4833,7.2167,7.4,93,90,0.45,DE,1711312574
17,kailua-kona,19.6406,-155.9956,27.38,73,20,3.6,US,1711312574
18,bakaly,55.1789,53.8028,0.87,98,100,3.04,RU,1711312521
19,itaituba,-4.2761,-55.9836,29.09,84,40,1.54,BR,1711312449
20,puerto natales,-51.7236,-72.4875,15.25,58,75,5.14,CL,1711312278
21,blackmans bay,-43.0167,147.3167,17.07,61,100,3.13,AU,1711312574
22,seward,40.907,-97.0989,11.19,87,100,6.71,US,1711312574
23,udachny,66.4167,112.4,-19.77,99,100,3.43,RU,1711312574
24,wailua homesteads,22.0669,-159.378,25.24,68,40,6.17,US,1711312574
25,adamstown,-25.066,-130.1015,25.48,77,8,3.94,PN,1711312574
26,castillos,-34.1667,-53.8333,22.04,72,55,3.04,UY,1711312575
27,grytviken,-54.2811,-36.5092,0.26,83,50,3.27,GS,1711312575
